Title,Abstract,Cleaned Abstract,DIM_1,DIM_2,Clusters,Cluster Keywords,Cluster Titles
"Proceedings - 2021 IEEE 14th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2021",The proceedings contain 41 papers. The topics discussed include: flaky mutants; another concern for mutation testing; test automation with Grad-CAM heatmaps – a future pipe segment in MLOps for vision AI?; agents for automated user experience testing; prioritized test generation guided by software fault prediction; automatic equivalent mutants classification using abstract syntax tree neural network; an environment for benchmarking combinatorial test suite generators; supervised learning for test suit selection in continuous integration; and an empirical study of parallelizing test execution using CUDA unified memory and OpenMP GPU offloading.,the proceedings contain    papers  the topics discussed include  flaky mutants  another concern for mutation testing  test automation with grad cam heatmaps   a future pipe segment in mlops for vision ai   agents for automated user experience testing  prioritized test generation guided by software fault prediction  automatic equivalent mutants classification using abstract syntax tree neural network  an environment for benchmarking combinatorial test suite generators  supervised learning for test suit selection in continuous integration  and an empirical study of parallelizing test execution using cuda unified memory and openmp gpu offloading ,7.1114655,5.1375666,3,MLOps - Industry 4.0 - Machine Learning Operations - Continuous Deployment - AI in Manufacturing - Adoption Challenges,Challenges and Applications of MLOps in Industry
"MILeS 2022 - Proceedings of the 2nd International Workshop on Multimodal Immersive Learning Systems, At the 17th European Conference on Technology Enhanced Learning, EC-TEL 2022","The proceedings contain 9 papers. The topics discussed include: MILKI-PSY Cloud: MLOps-based multimodal sensor stream processing pipeline for learning analytics in psychomotor education; we can teach more than we can tell: combining deliberate practice, embodied cognition, and multimodal learning; few-shot keypose detection for learning of psychomotor skills; considerations in feedback and periodization for the multimodal learning experience of running via wearable devices; IMPECT-sports: using an immersive learning system to facilitate the psychomotor skills acquisition process; XR golf putt trainer: user opinions on an innovative real-time feedback too; reflecting on the actionable components of a model for augmented feedback; meaningful feedback from wearable sensor data to train psychomotor skills; and prerequisite knowledge of learning environments in human-robot collaboration for dyadic teams.",the proceedings contain   papers  the topics discussed include  milki psy cloud  mlops based multimodal sensor stream processing pipeline for learning analytics in psychomotor education  we can teach more than we can tell  combining deliberate practice  embodied cognition  and multimodal learning  few shot keypose detection for learning of psychomotor skills  considerations in feedback and periodization for the multimodal learning experience of running via wearable devices  impect sports  using an immersive learning system to facilitate the psychomotor skills acquisition process  xr golf putt trainer  user opinions on an innovative real time feedback too  reflecting on the actionable components of a model for augmented feedback  meaningful feedback from wearable sensor data to train psychomotor skills  and prerequisite knowledge of learning environments in human robot collaboration for dyadic teams ,8.833551,7.796529,1,MLOps - Scalability - Continuous Deployment - AI Monitoring - Edge Computing - Operationalization,"MLOps for Scalable, Real-Time Production Systems"
Bleeding during laparoscopic gastric bypass surgery as a risk factor for less favorable outcome. A cohort study from the Scandinavian Obesity Surgery Registry,"Background Intraoperative adverse events are known to be associated with postoperative complications; however, little is known about whether or not blood loss during laparoscopic gastric bypass surgery affects the outcome. Objective To see if intraoperative bleeding was associated with a less favorable outcome, and to identify patient-specific risk factors for intraoperative bleeding. Setting Nationwide, Sweden. Methods Patients who underwent laparoscopic gastric bypass surgery between January 8, 2007, and September 15, 2015, were included in the study. The volume of intraoperative blood loss was compared with data from follow-up at day 30 and 1 and 2 years after surgery. Patient-specific factors were analyzed as potential risk factors for intraoperative bleeding. Results The study included 43,157 patients. Intraoperative bleeding was associated with an increased risk for postoperative complication (100–499 mL, odds ratio [OR] 2.97, 95% confidence interval [95%CI] 2.53–3.50;>500 mL OR 3.34, 95%CI 2.05–5.44), lower weight loss (<100 mL, 82.4±24.19% excess body mass index-loss [%EBMIL]; 100–499 mL, 76.9±24.24 %EBMIL, P<.0001;>500 mL 76.9±23.89 %EBMIL, P =.063) and lower reported quality-of-life 2 years after surgery (<100 mL, Obesity-related Problem scale (OP) 21.1±24.46; 100–499 mL, OP 25.0±26.62, P =.008;>500 mL, OP 25.2±24.46, P =.272). Diabetes (OR 1.30, 95%CI 1.08–1.58), age (OR 1.02, 95%CI 1.02–1.03), and body mass index (OR 1.03, 95%CI 1.02–1.05) were patient-specific risk factors for intraoperative bleeding≥100 mL, whereas intentional preoperative weight loss was associated with a lower risk (OR.50, 95%CI.43–.57). Conclusion Intraoperative bleeding was associated with less favorable outcome after laparoscopic gastric bypass surgery. Age, body mass index, and diabetes were risk factors for intraoperative bleeding, while preoperative weight reduction seems to be protective. © 2017 American Society for Bariatric Surgery",background intraoperative adverse events are known to be associated with postoperative complications  however  little is known about whether or not blood loss during laparoscopic gastric bypass surgery affects the outcome  objective to see if intraoperative bleeding was associated with a less favorable outcome  and to identify patient specific risk factors for intraoperative bleeding  setting nationwide  sweden  methods patients who underwent laparoscopic gastric bypass surgery between january          and september           were included in the study  the volume of intraoperative blood loss was compared with data from follow up at day    and   and   years after surgery  patient specific factors were analyzed as potential risk factors for intraoperative bleeding  results the study included        patients  intraoperative bleeding was associated with an increased risk for postoperative complication          ml  odds ratio  or            confidence interval     ci                 ml or          ci             lower weight loss       ml              excess body mass index loss   ebmil           ml              ebmil  p            ml             ebmil  p        and lower reported quality of life   years after surgery       ml  obesity related problem scale  op                      ml  op             p            ml  op             p         diabetes  or          ci             age  or          ci             and body mass index  or          ci            were patient specific risk factors for intraoperative bleeding     ml  whereas intentional preoperative weight loss was associated with a lower risk  or        ci          conclusion intraoperative bleeding was associated with less favorable outcome after laparoscopic gastric bypass surgery  age  body mass index  and diabetes were risk factors for intraoperative bleeding  while preoperative weight reduction seems to be protective         american society for bariatric surgery,4.648714,3.191308,4,Machine Learning - Deep Learning - Predictive Analytics - Healthcare - Diagnostics - Data Analysis,Advances in Predictive and Diagnostic Techniques
Ultrasound-assisted oxidative desulfurization of organosulfur compounds using ferrate(VI) derived from drinking water treatment sludge,"With the increasing demand for cleaner fuel production, the present work proposed a green technology by utilizing ferrate(VI) as an oxidant in the sulphur conversion in the ultrasound-assisted oxidative desulfurization of model fuel. In this study, potassium ferrate derived from drinking water treatment sludge (DWTS) was utilized in the ultrasound assisted oxidative desulfurization of dibenzothiophene (DBT) and benzothiophene (BT). Wet oxidation method was applied in the synthesis of potassium ferrate from DWTS. Elemental analysis of DWTS revealed that the main constituents are 28.85% Fe, 23.70% O and 19.74% Mn, which implies that the sludge as a potential source of iron for ferrate(VI) production. The effect of operating parameters such as organic to aqueous phase ratio (OP), ferrate concentration, phase transfer agent amount (TOAB), and sonication time on the sulphur conversion has been investigated. Optimization studies were performed via response surface methodology using box-behnken design. Optimal condition for DBT conversion was attained at 20 mL OP, 200-ppm ferrate(VI), 200 mg TOAB and 20 min, which provided a 43.91% conversion. On the other hand, a 96.03% BT conversion was achieved at 10 mL OP, 200-ppm ferrate(VI), 100-mg PTA and 20 min. Based from the analysis of variance, sonication time is the only significant factor that could affect % sulfur conversion for BT (F value = 12.47; p value < 0.0087) and DBT (F value = 8.08; p value < 0.0130). © 15th International Symposium on East Asian Resources Recycling Technology, EARTH 2019. All rights reserved.",with the increasing demand for cleaner fuel production  the present work proposed a green technology by utilizing ferrate vi  as an oxidant in the sulphur conversion in the ultrasound assisted oxidative desulfurization of model fuel  in this study  potassium ferrate derived from drinking water treatment sludge  dwts  was utilized in the ultrasound assisted oxidative desulfurization of dibenzothiophene  dbt  and benzothiophene  bt   wet oxidation method was applied in the synthesis of potassium ferrate from dwts  elemental analysis of dwts revealed that the main constituents are        fe         o and        mn  which implies that the sludge as a potential source of iron for ferrate vi  production  the effect of operating parameters such as organic to aqueous phase ratio  op   ferrate concentration  phase transfer agent amount  toab   and sonication time on the sulphur conversion has been investigated  optimization studies were performed via response surface methodology using box behnken design  optimal condition for dbt conversion was attained at    ml op      ppm ferrate vi       mg toab and    min  which provided a        conversion  on the other hand  a        bt conversion was achieved at    ml op      ppm ferrate vi       mg pta and    min  based from the analysis of variance  sonication time is the only significant factor that could affect   sulfur conversion for bt  f value          p value           and dbt  f value         p value                th international symposium on east asian resources recycling technology  earth       all rights reserved ,3.726896,2.1614084,4,Machine Learning - Deep Learning - Predictive Analytics - Healthcare - Diagnostics - Data Analysis,Advances in Predictive and Diagnostic Techniques
Data Science Solutions on Azure: Tools and Techniques Using Databricks and MLOps,"Understand and learn the skills needed to use modern tools in Microsoft Azure. This book discusses how to practically apply these tools in the industry, and help drive the transformation of organizations into a knowledge and data-driven entity. It provides an end-to-end understanding of data science life cycle and the techniques to efficiently productionize workloads. © 2020 by Julian Soh and Priyanshi Singh.",understand and learn the skills needed to use modern tools in microsoft azure  this book discusses how to practically apply these tools in the industry  and help drive the transformation of organizations into a knowledge and data driven entity  it provides an end to end understanding of data science life cycle and the techniques to efficiently productionize workloads         by julian soh and priyanshi singh ,9.621281,5.848525,2,MLOps - Ethical AI - Machine Learning Lifecycle - Model Deployment - AI Governance - Data Science Automation - Agile Methodologies,Comprehensive MLOps and Responsible AI Practices
Context time-sequencing for machine learning and sustainability optimization,"Computer systems designed to help user in their daily activities are becoming a norm. Specially, with the advent of the Internet of Things (IoT) where every device is interconnected with others through internet based protocols, the amount of data and information available has increased. Tracking devices are targeting more and more activities such as fitness, utilities consumption, movement, environment state, weather. Nowadays, a challenge for researchers is to handle such income of data and transform it into meaningful knowledge that can be used to predict, foresight, adapt and control activities. In order to this, it is necessary to interpret contextual information and produce services to anticipate these conditions. This project aim to provide a system for the creation of information and data structures to generate user models based on activity and sensor based contextual-information from IoT devices and apply machine learning operations to anticipate future states. © Springer International Publishing Switzerland 2016.",computer systems designed to help user in their daily activities are becoming a norm  specially  with the advent of the internet of things  iot  where every device is interconnected with others through internet based protocols  the amount of data and information available has increased  tracking devices are targeting more and more activities such as fitness  utilities consumption  movement  environment state  weather  nowadays  a challenge for researchers is to handle such income of data and transform it into meaningful knowledge that can be used to predict  foresight  adapt and control activities  in order to this  it is necessary to interpret contextual information and produce services to anticipate these conditions  this project aim to provide a system for the creation of information and data structures to generate user models based on activity and sensor based contextual information from iot devices and apply machine learning operations to anticipate future states    springer international publishing switzerland      ,4.97698,5.100979,5,MLOps - Model Optimization - Reinforcement Learning - Quantum Algorithms - Neural Networks - Privacy-Preserving Techniques,Advanced Machine Learning Frameworks and Applications
OpML 2020 - 2020 USENIX Conference on Operational Machine Learning,The proceedings contain 10 papers. The topics discussed include: DLSpec: a deep learning task exchange specification; finding bottleneck in machine learning model life cycle; detecting feature eligibility illusions in enterprise AI autopilots; time travel and provenance for machine learning pipelines; an experimentation and analytics framework for large-scale AI operations platforms; challenges towards production-ready explainable machine learning; RIANN: real-time incremental learning with approximate nearest neighbor on mobile devices; FlexServe: deployment of PyTorch models as flexible REST endpoints; auto content moderation in C2C e-commerce; and challenges and experiences with MLOps for performance diagnostics in hybrid-cloud enterprise software deployments.,the proceedings contain    papers  the topics discussed include  dlspec  a deep learning task exchange specification  finding bottleneck in machine learning model life cycle  detecting feature eligibility illusions in enterprise ai autopilots  time travel and provenance for machine learning pipelines  an experimentation and analytics framework for large scale ai operations platforms  challenges towards production ready explainable machine learning  riann  real time incremental learning with approximate nearest neighbor on mobile devices  flexserve  deployment of pytorch models as flexible rest endpoints  auto content moderation in c c e commerce  and challenges and experiences with mlops for performance diagnostics in hybrid cloud enterprise software deployments ,8.350332,7.9326706,1,MLOps - Scalability - Continuous Deployment - AI Monitoring - Edge Computing - Operationalization,"MLOps for Scalable, Real-Time Production Systems"
Software Architecture Best Practices for Enterprise Artificial Intelligence,"AI systems are increasingly evolving from laboratory experiments in data analysis to increments of productive software products. A professional AI platform must therefore not only function as a laboratory environment but must be designed and procured as a workbench for the development, productive implementation, operation and maintenance of ML models. Subsequently, it needs to integrate within a global software engineering approach. This way, Enterprise Architecture Management (EAM) must implement efficient governance of the development cycle, to enable organization-wide collaboration, to accelerate the go-live and to standardize operations. In this paper we highlight obstacles and show best practices on how architects can integrate data science and AI in their environment. Additionally, we suggest an integrated approach adapting the best practices from both the data science and DevOps. © 2020 Gesellschaft fur Informatik (GI). All rights reserved.",ai systems are increasingly evolving from laboratory experiments in data analysis to increments of productive software products  a professional ai platform must therefore not only function as a laboratory environment but must be designed and procured as a workbench for the development  productive implementation  operation and maintenance of ml models  subsequently  it needs to integrate within a global software engineering approach  this way  enterprise architecture management  eam  must implement efficient governance of the development cycle  to enable organization wide collaboration  to accelerate the go live and to standardize operations  in this paper we highlight obstacles and show best practices on how architects can integrate data science and ai in their environment  additionally  we suggest an integrated approach adapting the best practices from both the data science and devops         gesellschaft fur informatik  gi   all rights reserved ,9.320687,3.996831,3,MLOps - Industry 4.0 - Machine Learning Operations - Continuous Deployment - AI in Manufacturing - Adoption Challenges,Challenges and Applications of MLOps in Industry
"Effects of Soil Microbial Diversity on the Phosphate Fraction in the Rhizosphere of Phragmites communis in the Yeyahu Wetland in Beijing, China","In this research, microorganisms in rhizosphere/non-rhizosphere soils of Phragmites communis in the Yeyahu Wetland were studied. A sequential extraction procedure was used to analyze the phosphorus (P) forms in the rhizosphere/non-rhizosphere soil with a variety of plant growth conditions (April, July, October). The soil bacteria community structure and the diversity was measured using the high-throughput of 16S rRNA amplicons. Furthermore, the complete crystallographic analysis (CCA) method was used to analyze the relationship between phosphate solubilizing microorganisms and P transformation in the soil samples. The results showed that the rank order of inorganic P (IP) fractions in the soil was generally as follows: Ca-bound P (Ca-P) >Occluded P (Oc-P) >Fe-bound P (Fe-P) >Exchangeable P (Ex-P) >Al-bound P (Al-P). The IP content was most affected by the growth of Phragmites communis. The minimum content of IP appeared in the vigorous growth period and the total IP content in the rhizosphere soil was generally lower than in the non-rhizosphere soil. The rank order of organic P (OP) fractions were highly resistant OP (HR-OP) >moderately resistant OP (MR-OP) > moderately labile OP (ML-OP) > labile OP (L-OP), and all the components of OP first decreased and then increased with the growth of plant. The major phylogenic groups in rhizosphere/non-rhizosphere soil of Phragmites communis, included Proteobacteria, Acidobacteria, Chloroflexi, and Actinobacteria among which, Proteobacteria was the majority group in the community composition. Furthermore, the rhizosphere/non-rhizosphere microbial community structure was significantly affected by seasonal changes and existing differences between the rhizosphere and non-rhizosphere soils. In addition, the main functional groups of the modal transformation of P bacteria genera were Bacillus, Enterobacter, Pseudomonas, Burkholderia, Acinetobacter, which can make use of most OP and IP, playing an important role in the transformation of P in wetland soils. © 2017, Science Press. All right reserved.",in this research  microorganisms in rhizosphere non rhizosphere soils of phragmites communis in the yeyahu wetland were studied  a sequential extraction procedure was used to analyze the phosphorus  p  forms in the rhizosphere non rhizosphere soil with a variety of plant growth conditions  april  july  october   the soil bacteria community structure and the diversity was measured using the high throughput of   s rrna amplicons  furthermore  the complete crystallographic analysis  cca  method was used to analyze the relationship between phosphate solubilizing microorganisms and p transformation in the soil samples  the results showed that the rank order of inorganic p  ip  fractions in the soil was generally as follows  ca bound p  ca p   occluded p  oc p   fe bound p  fe p   exchangeable p  ex p   al bound p  al p   the ip content was most affected by the growth of phragmites communis  the minimum content of ip appeared in the vigorous growth period and the total ip content in the rhizosphere soil was generally lower than in the non rhizosphere soil  the rank order of organic p  op  fractions were highly resistant op  hr op   moderately resistant op  mr op    moderately labile op  ml op    labile op  l op   and all the components of op first decreased and then increased with the growth of plant  the major phylogenic groups in rhizosphere non rhizosphere soil of phragmites communis  included proteobacteria  acidobacteria  chloroflexi  and actinobacteria among which  proteobacteria was the majority group in the community composition  furthermore  the rhizosphere non rhizosphere microbial community structure was significantly affected by seasonal changes and existing differences between the rhizosphere and non rhizosphere soils  in addition  the main functional groups of the modal transformation of p bacteria genera were bacillus  enterobacter  pseudomonas  burkholderia  acinetobacter  which can make use of most op and ip  playing an important role in the transformation of p in wetland soils          science press  all right reserved ,4.1118803,2.2457826,4,Machine Learning - Deep Learning - Predictive Analytics - Healthcare - Diagnostics - Data Analysis,Advances in Predictive and Diagnostic Techniques
Potential role of hCG in apoptosis of human luteinized granulosa cells,"The corpus luteum (CL) forms after ovulation and acts as a temporary endocrine gland that produces progesterone (P4), a hormone that is essential for implantation and maintenance of pregnancy in mammals. In pregnant women, human chorionic gonadotropin (hCG) secreted by the conceptus prevents luteolysis. hCG also increases the survival of cultured human luteinized granulosa cells (hLGCs). To clarify the maintenance mechanism of the human CL, we investigated the effects of hCG and P4 receptor antagonists, onapristone (OP) and RU486, on the viability of hLGCs. With the patients’ consent, hLGCs were isolated from follicular aspirates for in vitro fertilization. The cells were cultured with hCG (0.1, 1, 10, 100 IU/ml), OP (10, 25, 50, 100 μM), RU486 (100 μM), P4 (1, 10, 25, 50 μM) or some combination of the four for 24 h. Cell viability was significantly increased by hCG (100 IU/ml) and significantly decreased by OP (100 μM) compared with the control. Cells treated with hCG and OP together were significantly less viable than the control and OP-treated cells. The combined treatment also significantly increased CASP3 activity and cleaved CASP3 protein expression. Furthermore, P4 addition reversed the reduction in cell viability caused by the combination of hCG and OP treatment. The overall findings suggest that hCG cooperates with P4 to increase survival of hLGCs and to induce apoptosis when P4 action supported by hCG is attenuated in the human CL. © 2015 by the Society for Reproduction and Development.",the corpus luteum  cl  forms after ovulation and acts as a temporary endocrine gland that produces progesterone  p    a hormone that is essential for implantation and maintenance of pregnancy in mammals  in pregnant women  human chorionic gonadotropin  hcg  secreted by the conceptus prevents luteolysis  hcg also increases the survival of cultured human luteinized granulosa cells  hlgcs   to clarify the maintenance mechanism of the human cl  we investigated the effects of hcg and p  receptor antagonists  onapristone  op  and ru     on the viability of hlgcs  with the patients  consent  hlgcs were isolated from follicular aspirates for in vitro fertilization  the cells were cultured with hcg                  iu ml   op                   m   ru          m   p                  m  or some combination of the four for    h  cell viability was significantly increased by hcg      iu ml  and significantly decreased by op       m  compared with the control  cells treated with hcg and op together were significantly less viable than the control and op treated cells  the combined treatment also significantly increased casp  activity and cleaved casp  protein expression  furthermore  p  addition reversed the reduction in cell viability caused by the combination of hcg and op treatment  the overall findings suggest that hcg cooperates with p  to increase survival of hlgcs and to induce apoptosis when p  action supported by hcg is attenuated in the human cl         by the society for reproduction and development ,4.007833,2.7092376,4,Machine Learning - Deep Learning - Predictive Analytics - Healthcare - Diagnostics - Data Analysis,Advances in Predictive and Diagnostic Techniques
Comparative study of 8 and 10-bit HEVC encoders,"This paper compares the rate-distortion-complexity (RDC) characteristics of the HEVC Main 10 Profile (M10P) and Main Profile (MP) encoders. The evaluations are performed with HEVC reference encoder (HM) whose M10P and MP are benchmarked with different resolutions, frame rates, and bit depths. The reported RD results are based on bit rate differences for equal PSNR whereas complexities have been profiled with Intel VTune on Intel Core 2 processor. With our 10-bit 4K 120 fps test set, the average bit rate decrements of M10P over MP are 5.8%, 11.6%, and 12.3% in the all-intra (AI), random access (RA), and low-delay B (LB) configurations, respectively. Decreasing the bit depth of this test set to 8 lowers the RD gain of Ml OP only slightly to 5.4% (AI), 11.4% (RA), and 12.1% (LB). The similar trend continues in all our tests even though the RD gain of M10P is decreased over MP with lower resolutions and frame rates. M10P introduces no computational overhead in HM, but it is anticipated to increase complexity and double the memory usage in practical encoders. Hence, the 10-bit HEVC encoding with 8-bit input video is the most recommended option if computation and memory resources are adequate for it. © 2014 IEEE.. © 2014 IEEE.",this paper compares the rate distortion complexity  rdc  characteristics of the hevc main    profile  m  p  and main profile  mp  encoders  the evaluations are performed with hevc reference encoder  hm  whose m  p and mp are benchmarked with different resolutions  frame rates  and bit depths  the reported rd results are based on bit rate differences for equal psnr whereas complexities have been profiled with intel vtune on intel core   processor  with our    bit  k     fps test set  the average bit rate decrements of m  p over mp are              and       in the all intra  ai   random access  ra   and low delay b  lb  configurations  respectively  decreasing the bit depth of this test set to   lowers the rd gain of ml op only slightly to       ai          ra   and        lb   the similar trend continues in all our tests even though the rd gain of m  p is decreased over mp with lower resolutions and frame rates  m  p introduces no computational overhead in hm  but it is anticipated to increase complexity and double the memory usage in practical encoders  hence  the    bit hevc encoding with   bit input video is the most recommended option if computation and memory resources are adequate for it         ieee          ieee ,4.011008,6.1005883,5,MLOps - Model Optimization - Reinforcement Learning - Quantum Algorithms - Neural Networks - Privacy-Preserving Techniques,Advanced Machine Learning Frameworks and Applications
Challenges and experiences with MLOps for performance diagnostics in hybrid-cloud enterprise software deployments,"This paper presents how VMware addressed the following challenges in operationalizing our ML-based performance diagnostics solution in enterprise hybrid-cloud environments: data governance, model serving and deployment, dealing with system performance drifts, selecting model features, centralized model training pipeline, setting the appropriate alarm threshold, and explainability. We also share the lessons and experiences we learned over the past four years in deploying ML operations at scale for enterprise customers. © OpML 2020 - 2020 USENIX Conference on Operational Machine Learning. All rights reserved.",this paper presents how vmware addressed the following challenges in operationalizing our ml based performance diagnostics solution in enterprise hybrid cloud environments  data governance  model serving and deployment  dealing with system performance drifts  selecting model features  centralized model training pipeline  setting the appropriate alarm threshold  and explainability  we also share the lessons and experiences we learned over the past four years in deploying ml operations at scale for enterprise customers    opml             usenix conference on operational machine learning  all rights reserved ,7.288439,6.4630885,1,MLOps - Scalability - Continuous Deployment - AI Monitoring - Edge Computing - Operationalization,"MLOps for Scalable, Real-Time Production Systems"
Non-operative management of blunt abdominal solid organ trauma in adult patients,"Introduction: Despite agreement in the literature that “stable” blunt trauma patients may be managed conservatively, in Egypt many such patients receive operative management. This paper presents the results of a pragmatic, prospective, observational study to evaluate outcomes of non-operative (NOP) versus operative (OP) management of blunt abdominal solid organ trauma in hemodynamically stable adults admitted to Tanta University Emergency Hospital (TUH) in Egypt. Methods: A prospective observational study enrolled adult blunt abdominal trauma patients with solid organ injury at TUH over a 3-year period (June 2014–June 2017). Inclusion criteria were age ≥18 yr, mean arterial pressure >65 mm Hg, heart rate <110 bpm, hematocrit ≥7 mg/dl, and abdominal organ injury diagnosed by ultrasound or computed tomography (CT). Excluded patients were those with pelvis and femur fractures; patients with penetrating abdominal trauma; predominate burn injuries, children and pregnant women. All patients were assigned to non-operative or operative management based on clinician preference. Outcomes of interest were 30-day mortality, blood transfusion volume, and length of stay. Descriptive statistics and χ2 were used to compare outcomes. Results: During the study period, 4254 trauma patients presented to TUH. Of these, 790 had blunt abdominal trauma and 111 (14.1%) met inclusion criteria. Injury severity scores for each group were comparable (24 ± 10 – NOP vs. 28 ± 11 – OP, p = 0.126). NOP received less transfused blood (213.41 ± 360.3 ml [NOP] vs.1155.17 ± 380.4 ml [OP] (p < 0.0001)) but had a longer length of stay (8.29 ± 2.8 [NOP] vs. 6.45 ± 1.97 days [OP] (p = 0.012)). There was no difference in mortality between groups (p = 0.091). Conclusion: Our study demonstrated that non-operative management in Egypt of blunt abdominal trauma was safe and resulted in fewer procedures, fewer units of blood transfused, and no increase in mortality. Longer length of stay for non-operative patients might reflect treating physician caution in their management. © 2020 African Federation for Emergency Medicine",introduction  despite agreement in the literature that  stable  blunt trauma patients may be managed conservatively  in egypt many such patients receive operative management  this paper presents the results of a pragmatic  prospective  observational study to evaluate outcomes of non operative  nop  versus operative  op  management of blunt abdominal solid organ trauma in hemodynamically stable adults admitted to tanta university emergency hospital  tuh  in egypt  methods  a prospective observational study enrolled adult blunt abdominal trauma patients with solid organ injury at tuh over a   year period  june      june        inclusion criteria were age     yr  mean arterial pressure     mm hg  heart rate      bpm  hematocrit    mg dl  and abdominal organ injury diagnosed by ultrasound or computed tomography  ct   excluded patients were those with pelvis and femur fractures  patients with penetrating abdominal trauma  predominate burn injuries  children and pregnant women  all patients were assigned to non operative or operative management based on clinician preference  outcomes of interest were    day mortality  blood transfusion volume  and length of stay  descriptive statistics and    were used to compare outcomes  results  during the study period       trauma patients presented to tuh  of these      had blunt abdominal trauma and             met inclusion criteria  injury severity scores for each group were comparable            nop vs            op  p           nop received less transfused blood                 ml  nop  vs                 ml  op   p            but had a longer length of stay              nop  vs              days  op   p            there was no difference in mortality between groups  p           conclusion  our study demonstrated that non operative management in egypt of blunt abdominal trauma was safe and resulted in fewer procedures  fewer units of blood transfused  and no increase in mortality  longer length of stay for non operative patients might reflect treating physician caution in their management         african federation for emergency medicine,4.6921206,2.9719412,4,Machine Learning - Deep Learning - Predictive Analytics - Healthcare - Diagnostics - Data Analysis,Advances in Predictive and Diagnostic Techniques
Development and Optimization of an Intelligent Parking Slot Allotter and Billing System Based on Machine Learning and OCR,"As a key part of automated vehicle technology intelligent parking slot allotter has become a popular research topic. Intelligent parking slot allotter can grant permission to access the parking area with less human inference. This system can capture image of the vehicle, identify the type of vehicle and allot best fit and optimal parking slot based on its size. It extracts the vehicle’s license plate number, entry time, exit time and calculate total time of the vehicle present with in the parking space. Here, sensors are utilized to identify the presence of the vehicle during entry and exit. Two cameras are utilized to extract features. One camera is used to identify the region of interest, vehicle license plate and identify the characters from the license plate. Tesseract engine and optical character recognition (OCR) functions are used to detect characters from the image. Another camera is utilized to extract features like dimensions of the vehicle using machine learning operations such as convolutional neural network (CNN). Based on the size of the vehicle, best fit parking slot is allotted which gives optimal usage of parking area. These days the quantity of vehicles is expanding exceptionally, so that, searching for an empty parking slot turns out to be increasingly troublesome. By installing the intelligent parking slot allotter, in places like, shopping malls, train stations, and airports the need for searching of parking slot significantly reduces. A past study has demonstrated that traffic because of vehicle’s parking slot searching in downtowns of significant urban communities can represent half of the absolute traffic. With such a hefty traffic jam and time delay in parking slot identifying, intelligent parking slot allotter will be in great demand. © 2020, Springer Nature Switzerland AG.",as a key part of automated vehicle technology intelligent parking slot allotter has become a popular research topic  intelligent parking slot allotter can grant permission to access the parking area with less human inference  this system can capture image of the vehicle  identify the type of vehicle and allot best fit and optimal parking slot based on its size  it extracts the vehicle s license plate number  entry time  exit time and calculate total time of the vehicle present with in the parking space  here  sensors are utilized to identify the presence of the vehicle during entry and exit  two cameras are utilized to extract features  one camera is used to identify the region of interest  vehicle license plate and identify the characters from the license plate  tesseract engine and optical character recognition  ocr  functions are used to detect characters from the image  another camera is utilized to extract features like dimensions of the vehicle using machine learning operations such as convolutional neural network  cnn   based on the size of the vehicle  best fit parking slot is allotted which gives optimal usage of parking area  these days the quantity of vehicles is expanding exceptionally  so that  searching for an empty parking slot turns out to be increasingly troublesome  by installing the intelligent parking slot allotter  in places like  shopping malls  train stations  and airports the need for searching of parking slot significantly reduces  a past study has demonstrated that traffic because of vehicle s parking slot searching in downtowns of significant urban communities can represent half of the absolute traffic  with such a hefty traffic jam and time delay in parking slot identifying  intelligent parking slot allotter will be in great demand          springer nature switzerland ag ,5.3624353,5.057385,5,MLOps - Model Optimization - Reinforcement Learning - Quantum Algorithms - Neural Networks - Privacy-Preserving Techniques,Advanced Machine Learning Frameworks and Applications
Method of detecting malware through analysis of opcodes frequency with machine learning technique,"As the evolution of malware, vast damages are occurred in various industry fields. For this reason, research on malware detection has conducted actively. To improve the security of the network, SDN Quarantined Network (SQN) has been proposed. In this paper, we developed one of malware detection modules in first quarantine station in SQN by using the fact that benign and malicious files have different opcode frequency. And we applied machine learning technique as different way compare to conventional method. we verified that our module is valuable as one of detection modules and our final aim is to mount this module on the SQN system. Therefore, it would be possible more accurate inspection for new type of security attack with multiple detection modules. © Springer Nature Singapore Pte Ltd. 2017.",as the evolution of malware  vast damages are occurred in various industry fields  for this reason  research on malware detection has conducted actively  to improve the security of the network  sdn quarantined network  sqn  has been proposed  in this paper  we developed one of malware detection modules in first quarantine station in sqn by using the fact that benign and malicious files have different opcode frequency  and we applied machine learning technique as different way compare to conventional method  we verified that our module is valuable as one of detection modules and our final aim is to mount this module on the sqn system  therefore  it would be possible more accurate inspection for new type of security attack with multiple detection modules    springer nature singapore pte ltd       ,3.542916,5.556343,5,MLOps - Model Optimization - Reinforcement Learning - Quantum Algorithms - Neural Networks - Privacy-Preserving Techniques,Advanced Machine Learning Frameworks and Applications
