Source,Title,Year,# Citations,Authors,Journal,Type,Abstract,PDF,BibTex,DOI,Published,Matched_title
Google Scholar,Online Regression Machine Learning,2023,0,"de Araujo Carvalho, Gabriel",,phdthesis,,https://www.maxwell.vrac.puc-rio.br/64505/64505.PDF,"@phdthesis{de2023online,
  title={Online Regression Machine Learning},
  author={de Araujo Carvalho, Gabriel},
  year={2023},
  school={PUC-Rio}
}",,No,
Google Scholar,A study on training and development of mid-level ophthalmic personnel (MLOP) in aravind eye hospitals (AEH).,2020,1,"SIVANANDAM, PRASANNA and NISHA A, RAHMATH",Journal of Contemporary Issues in Business \& Government,article,,,"@article{sivanandam2020study,
  title={A study on training and development of mid-level ophthalmic personnel (MLOP) in aravind eye hospitals (AEH).},
  author={SIVANANDAM, PRASANNA and NISHA A, RAHMATH},
  journal={Journal of Contemporary Issues in Business \& Government},
  volume={26},
  number={2},
  year={2020}
}",,No,
Google Scholar,Development Life-Cycle Perspective,2023,0,"Slama, Dirk",,incollection,,https://link.springer.com/chapter/10.1007/978-3-030-88221-1_18,"@incollection{slama2023development,
  title={Development Life-Cycle Perspective},
  author={Slama, Dirk},
  booktitle={The Digital Playbook: A Practitioner’s Guide to Smart, Connected Products and Solutions with AIoT},
  pages={203--205},
  year={2023},
  publisher={Springer}
}",,No,
Google Scholar,Reproducibility in materials informatics: lessons from ‘A general-purpose machine learning framework for predicting properties of inorganic materials’,2024,0,"Persaud, Daniel and Ward, Logan and Hattrick-Simpers, Jason",Digital Discovery,article,,https://pubs.rsc.org/en/content/articlehtml/2024/dd/d3dd00199g,"@article{persaud2024reproducibility,
  title={Reproducibility in materials informatics: lessons from ‘A general-purpose machine learning framework for predicting properties of inorganic materials’},
  author={Persaud, Daniel and Ward, Logan and Hattrick-Simpers, Jason},
  journal={Digital Discovery},
  year={2024},
  publisher={Royal Society of Chemistry}
}",,No,
Google Scholar,Data Preparation and Data Engineering Basics,2020,0,"Soh, Julian and Singh, Priyanshi and Soh, Julian and Singh, Priyanshi",Data Science Solutions on Azure: Tools and Techniques Using Databricks and MLOps,article,,,"@article{soh2020data,
  title={Data Preparation and Data Engineering Basics},
  author={Soh, Julian and Singh, Priyanshi and Soh, Julian and Singh, Priyanshi},
  journal={Data Science Solutions on Azure: Tools and Techniques Using Databricks and MLOps},
  pages={65--115},
  year={2020},
  publisher={Springer}
}",,No,
Google Scholar,Simulation of machine learning inferences in real-time operating system to improve direction finding in an embedded environment,2023,0,"Nizharadze, Nika and Mahlig, Matthias and Merk, Timon",,inproceedings,,,"@inproceedings{nizharadze2023simulation,
  title={Simulation of machine learning inferences in real-time operating system to improve direction finding in an embedded environment},
  author={Nizharadze, Nika and Mahlig, Matthias and Merk, Timon},
  booktitle={2023 13th International Conference on Indoor Positioning and Indoor Navigation (IPIN)},
  pages={1--6},
  year={2023},
  organization={IEEE}
}",,No,
Google Scholar,Architecting Google Cloud Solutions: Learn to design robust and future-proof solutions with Google Cloud technologies,2021,2,"Dantas, Victor",,book,,,"@book{dantas2021architecting,
  title={Architecting Google Cloud Solutions: Learn to design robust and future-proof solutions with Google Cloud technologies},
  author={Dantas, Victor},
  year={2021},
  publisher={Packt Publishing Ltd}
}",,No,
Google Scholar,Reproducibility in Computational Materials Science: Lessons from'A General-Purpose Machine Learning Framework for Predicting Properties of Inorganic Materials',2023,0,"Persaud, Daniel and Ward, Logan and Hattrick-Simpers, Jason",arXiv preprint arXiv:2310.07044,article,,https://arxiv.org/pdf/2310.07044,"@article{persaud2023reproducibility,
  title={Reproducibility in Computational Materials Science: Lessons from'A General-Purpose Machine Learning Framework for Predicting Properties of Inorganic Materials'},
  author={Persaud, Daniel and Ward, Logan and Hattrick-Simpers, Jason},
  journal={arXiv preprint arXiv:2310.07044},
  year={2023}
}",,No,
Google Scholar,Securing and Protecting AI Environments,2022,0,"Haller, Klaus and Haller, Klaus",Managing AI in the Enterprise: Succeeding with AI Projects and MLOps to Build Sustainable AI Organizations,article,,,"@article{haller2022securing,
  title={Securing and Protecting AI Environments},
  author={Haller, Klaus and Haller, Klaus},
  journal={Managing AI in the Enterprise: Succeeding with AI Projects and MLOps to Build Sustainable AI Organizations},
  pages={177--206},
  year={2022},
  publisher={Springer}
}",,No,
Google Scholar,An Overview of PAI: Distributed Machine Learning Platform,2022,0,"Meng, Fan and Hu, Kunrong and Zhou, Xiaotao",,inproceedings,,,"@inproceedings{meng2022overview,
  title={An Overview of PAI: Distributed Machine Learning Platform},
  author={Meng, Fan and Hu, Kunrong and Zhou, Xiaotao},
  booktitle={2022 IEEE 5th Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)},
  volume={5},
  pages={852--857},
  year={2022},
  organization={IEEE}
}",,No,
Google Scholar,CausalOps--Towards an Industrial Lifecycle for Causal Probabilistic Graphical Models,2023,0,"Maier, Robert and Schlattl, Andreas and Guess, Thomas and Mottok, J{\""u",arXiv preprint arXiv:2308.01375,article,,https://arxiv.org/pdf/2308.01375,"@article{maier2023causalops,
  title={CausalOps--Towards an Industrial Lifecycle for Causal Probabilistic Graphical Models},
  author={Maier, Robert and Schlattl, Andreas and Guess, Thomas and Mottok, J{\""u}rgen},
  journal={arXiv preprint arXiv:2308.01375},
  year={2023}
}",,No,
Google Scholar,Codes for Distributed Machine Learning,2020,0,"Muthuveeru Subramaniam, Adarsh",,phdthesis,,,"@phdthesis{muthuveeru2020codes,
  title={Codes for Distributed Machine Learning},
  author={Muthuveeru Subramaniam, Adarsh},
  year={2020}
}",,No,
Google Scholar,Multi-strategy ensemble binary hunger games search for feature selection,2022,32,"Ma, Benedict Jun and Liu, Shuai and Heidari, Ali Asghar",Knowledge-Based Systems,article,,https://www.researchgate.net/profile/Samuel-Liu-9/publication/360131346_Multi-strategy_ensemble_binary_hunger_games_search_for_feature_selection/links/63063da95eed5e4bd1180b56/Multi-strategy-ensemble-binary-hunger-games-search-for-feature-selection.pdf,"@article{ma2022multi,
  title={Multi-strategy ensemble binary hunger games search for feature selection},
  author={Ma, Benedict Jun and Liu, Shuai and Heidari, Ali Asghar},
  journal={Knowledge-Based Systems},
  volume={248},
  pages={108787},
  year={2022},
  publisher={Elsevier}
}",,Yes,knowledge-based systems
Google Scholar,TDWI Analytics Maturity Model,2020,13,"Halper, Fern",TDWI Research,article,,https://register.tableau.com/sites/default/files/2020-11/TDWI_Analytics_Maturity_Model_Assessment_Guide_Tableau.pdf,"@article{halper2020tdwi,
  title={TDWI Analytics Maturity Model},
  author={Halper, Fern},
  journal={TDWI Research},
  volume={22},
  year={2020}
}",,No,
Google Scholar,Application of Machine Learning in Internet of Things (IoTs),,0,"Kumar, Yoginder",,article,,https://www.academia.edu/download/87481833/Application_of_Machine_Learning_in_Internet_of_Things_IoTs_.pdf,"@article{kumarapplication,
  title={Application of Machine Learning in Internet of Things (IoTs)},
  author={Kumar, Yoginder}
}",,No,
Google Scholar,AI Best Practice and DataOps,2022,1,"Walsh, Barry",,incollection,,,"@incollection{walsh2022ai,
  title={AI Best Practice and DataOps},
  author={Walsh, Barry},
  booktitle={Productionizing AI: How to Deliver AI B2B Solutions with Cloud and Python},
  pages={41--74},
  year={2022},
  publisher={Springer}
}",,No,
Google Scholar,AutoManager: a Meta-Learning Model for Network Management from Intertwined Forecasts,2023,0,"Collet, Alan and Bazco-Nogueras, Antonio and Banchs, Albert and Fiore, Marco and others",,inproceedings,,https://dspace.networks.imdea.org/bitstream/handle/20.500.12761/1659/Alan_INFOCOM2023_submission__DSpace_.pdf?sequence=1&isAllowed=y,"@inproceedings{collet2023automanager,
  title={AutoManager: a Meta-Learning Model for Network Management from Intertwined Forecasts},
  author={Collet, Alan and Bazco-Nogueras, Antonio and Banchs, Albert and Fiore, Marco and others},
  booktitle={IEEE International Conference on Computer Communications},
  year={2023}
}",,No,
Google Scholar,Building a generalisable ML pipeline at ING,2022,0,"Bauman, Niels",,article,,,"@article{bauman2022building,
  title={Building a generalisable ML pipeline at ING},
  author={Bauman, Niels},
  year={2022}
}",,No,
Google Scholar,Zero-touch security automation mechanisms for edge NFV: the $\pi$-Edge approach,2022,3,"Valantasis, Alexandros and Psaromanolakis, Nikos and Theodorou, Vasileios",,inproceedings,,https://dl.ifip.org/db/conf/cnsm/cnsm2022/41.pdf,"@inproceedings{valantasis2022zero,
  title={Zero-touch security automation mechanisms for edge NFV: the $\pi$-Edge approach},
  author={Valantasis, Alexandros and Psaromanolakis, Nikos and Theodorou, Vasileios},
  booktitle={2022 18th International Conference on Network and Service Management (CNSM)},
  pages={317--323},
  year={2022},
  organization={IEEE}
}",,No,
Google Scholar,A Model Monitoring Platform for Machine Learning,2023,0,"Yan, Gengcong and others",,article,,,"@article{yan2023model,
  title={A Model Monitoring Platform for Machine Learning},
  author={Yan, Gengcong and others},
  year={2023}
}",,No,
Google Scholar,Building and Structuring the Team,2022,0,"Raina, Vineet and Krishnamurthy, Srinath and Raina, Vineet and Krishnamurthy, Srinath",Building an Effective Data Science Practice: A Framework to Bootstrap and Manage a Successful Data Science Practice,article,,,"@article{raina2022building,
  title={Building and Structuring the Team},
  author={Raina, Vineet and Krishnamurthy, Srinath and Raina, Vineet and Krishnamurthy, Srinath},
  journal={Building an Effective Data Science Practice: A Framework to Bootstrap and Manage a Successful Data Science Practice},
  pages={315--323},
  year={2022},
  publisher={Springer}
}",,No,
Google Scholar,Criticality-Based Data Segmentation and Resource Allocation in Machine,2024,0,"Liu, Shengzhong and Sha, Lui and Abdelzaher, Tarek",Artificial Intelligence for Edge Computing,article,,,"@article{liu2024criticality,
  title={Criticality-Based Data Segmentation and Resource Allocation in Machine},
  author={Liu, Shengzhong and Sha, Lui and Abdelzaher, Tarek},
  journal={Artificial Intelligence for Edge Computing},
  pages={335},
  year={2024},
  publisher={Springer Nature}
}",,No,
Google Scholar,Real-time spatio-temporal forecasting with dynamic urban event and vehicle-level flow information,2023,1,"Conlan, Chris and Oakley, Joe and Demirci, Gunduz Vehbi and Sfyridis, Alexandros and Ferhatosmanoglu, Hakan",,inproceedings,,https://wrap.warwick.ac.uk/175521/1/WRAP-real-time-spatio-temporal-forecasting-urban-event-vehicle-level-flow-Conlan-2023.pdf,"@inproceedings{conlan2023real,
  title={Real-time spatio-temporal forecasting with dynamic urban event and vehicle-level flow information},
  author={Conlan, Chris and Oakley, Joe and Demirci, Gunduz Vehbi and Sfyridis, Alexandros and Ferhatosmanoglu, Hakan},
  booktitle={CEUR Workshop Proceedings},
  volume={3379},
  year={2023},
  organization={RWTH Aachen University}
}",,No,
Google Scholar,Towards an intelligent 6G architecture: the case of jointly Optimised handover and,,0,"Vasilakos, Xenofon",,article,,https://www.researchgate.net/profile/Xenofon-Vasilakos/publication/361605891_Towards_an_intelligent_6G_architecture_the_case_of_jointly_Optimised_handover_and_Orchestration/links/62bc11fb93242c74cad70ecb/Towards-an-intelligent-6G-architecture-the-case-of-jointly-Optimised-handover-and-Orchestration.pdf,"@article{vasilakostowards,
  title={Towards an intelligent 6G architecture: the case of jointly Optimised handover and},
  author={Vasilakos, Xenofon}
}",,No,
Google Scholar,Review on Virtual Laboratories in Practice,,0,"Louhi, Jarkko and Tyree, Juniper",,article,,https://www.edahelsinki.fi/virtual22/data20039-2022-louhi-tyree.pdf,"@article{louhireview,
  title={Review on Virtual Laboratories in Practice},
  author={Louhi, Jarkko and Tyree, Juniper}
}",,No,
Google Scholar,ML Governance: First Steps,2021,0,"Craze, Andy and Team, WMF Machine Learning",,article,,https://scholar.archive.org/work/4zmhni3wjzfvpepvwnpjhdy3iq/access/wayback/https://s3-eu-west-1.amazonaws.com/pfigshare-u-files/28562253/MLModelGovernance.pdf,"@article{craze2021ml,
  title={ML Governance: First Steps},
  author={Craze, Andy and Team, WMF Machine Learning},
  year={2021}
}",,No,
Google Scholar,"Machine learning in the coagulation and hemostasis arena: an overview and evaluation of methods, review of literature, and future directions",2023,11,"Rashidi, Hooman H and Bowers, Kelly A and Gil, Morayma Reyes",Journal of Thrombosis and Haemostasis,article,,,"@article{rashidi2023machine,
  title={Machine learning in the coagulation and hemostasis arena: an overview and evaluation of methods, review of literature, and future directions},
  author={Rashidi, Hooman H and Bowers, Kelly A and Gil, Morayma Reyes},
  journal={Journal of Thrombosis and Haemostasis},
  volume={21},
  number={4},
  pages={728--743},
  year={2023},
  publisher={Elsevier}
}",,No,
Google Scholar,Artificial Intelligence Applicability to Air Traffic Management Network Operations,2020,1,"Chaudhry, Ziad J and Fox, Kevin L",,inproceedings,,,"@inproceedings{chaudhry2020artificial,
  title={Artificial Intelligence Applicability to Air Traffic Management Network Operations},
  author={Chaudhry, Ziad J and Fox, Kevin L},
  booktitle={2020 Integrated Communications Navigation and Surveillance Conference (ICNS)},
  pages={5A1--1},
  year={2020},
  organization={IEEE}
}",,No,
Google Scholar,Tracking end-of-life stage of chemicals: A scalable data-centric and chemical-centric approach,2023,1,"Hernandez-Betancur, Jose D and Ruiz-Mercado, Gerardo J and Martin, Mariano","Resources, Conservation and Recycling",article,,https://www.sciencedirect.com/science/article/pii/S0921344923001672,"@article{hernandez2023tracking,
  title={Tracking end-of-life stage of chemicals: A scalable data-centric and chemical-centric approach},
  author={Hernandez-Betancur, Jose D and Ruiz-Mercado, Gerardo J and Martin, Mariano},
  journal={Resources, Conservation and Recycling},
  volume={196},
  pages={107031},
  year={2023},
  publisher={Elsevier}
}",,No,
Google Scholar,Ml health: Fitness tracking for production models,2019,10,"Ghanta, Sindhu and Subramanian, Sriram and Khermosh, Lior and Sundararaman, Swaminathan and Shah, Harshil and Goldberg, Yakov and Roselli, Drew and Talagala, Nisha",arXiv preprint arXiv:1902.02808,article,,https://arxiv.org/pdf/1902.02808,"@article{ghanta2019ml,
  title={Ml health: Fitness tracking for production models},
  author={Ghanta, Sindhu and Subramanian, Sriram and Khermosh, Lior and Sundararaman, Swaminathan and Shah, Harshil and Goldberg, Yakov and Roselli, Drew and Talagala, Nisha},
  journal={arXiv preprint arXiv:1902.02808},
  year={2019}
}",,No,
Google Scholar,Data Science in the Modern Enterprise,2020,0,"Soh, Julian and Singh, Priyanshi and Soh, Julian and Singh, Priyanshi",Data Science Solutions on Azure: Tools and Techniques Using Databricks and MLOps,article,,,"@article{soh2020data,
  title={Data Science in the Modern Enterprise},
  author={Soh, Julian and Singh, Priyanshi and Soh, Julian and Singh, Priyanshi},
  journal={Data Science Solutions on Azure: Tools and Techniques Using Databricks and MLOps},
  pages={1--13},
  year={2020},
  publisher={Springer}
}",,No,
Google Scholar,Software Product Management: from opinions to data-driven experimentation,2023,0,"Bosch, Jan",,article,,,"@article{bosch2023software,
  title={Software Product Management: from opinions to data-driven experimentation},
  author={Bosch, Jan},
  year={2023},
  publisher={Gesellschaft f{\""u}r Informatik eV}
}",,No,
Google Scholar,Graph coordination for compact representation of regular dataflow structures,2020,1,"McAllister, John and Davis, Michael",,inproceedings,,,"@inproceedings{mcallister2020graph,
  title={Graph coordination for compact representation of regular dataflow structures},
  author={McAllister, John and Davis, Michael},
  booktitle={2020 IEEE Workshop on Signal Processing Systems (SiPS)},
  pages={1--6},
  year={2020},
  organization={IEEE}
}",,No,
Google Scholar,Inference,2022,0,"Raina, Vineet and Krishnamurthy, Srinath and Raina, Vineet and Krishnamurthy, Srinath",Building an Effective Data Science Practice: A Framework to Bootstrap and Manage a Successful Data Science Practice,article,,,"@article{raina2022inference,
  title={Inference},
  author={Raina, Vineet and Krishnamurthy, Srinath and Raina, Vineet and Krishnamurthy, Srinath},
  journal={Building an Effective Data Science Practice: A Framework to Bootstrap and Manage a Successful Data Science Practice},
  pages={257--266},
  year={2022},
  publisher={Springer}
}",,No,
Google Scholar,Machine Learning as a Service (MLaaS)—An Enterprise Perspective,2023,2,"Grigoriadis, Ioannis and Vrochidou, Eleni and Tsiatsiou, Iliana and Papakostas, George A",,inproceedings,,https://www.researchgate.net/profile/Eleni-Vrochidou/publication/368310279_Machine_Learning_as_a_Service_MLaaS-An_Enterprise_Perspective/links/63f07d712958d64a5cdbcc24/Machine-Learning-as-a-Service-MLaaS-An-Enterprise-Perspective.pdf,"@inproceedings{grigoriadis2023machine,
  title={Machine Learning as a Service (MLaaS)—An Enterprise Perspective},
  author={Grigoriadis, Ioannis and Vrochidou, Eleni and Tsiatsiou, Iliana and Papakostas, George A},
  booktitle={Proceedings of International Conference on Data Science and Applications: ICDSA 2022, Volume 2},
  pages={261--273},
  year={2023},
  organization={Springer}
}",,No,
Google Scholar,"Deep learning for B5G open radio access network: Evolution, survey, case studies, and challenges",2022,74,"Brik, Bouziane and Boutiba, Karim and Ksentini, Adlen",IEEE Open Journal of the Communications Society,article,,https://ieeexplore.ieee.org/iel7/8782661/8901158/09695955.pdf,"@article{brik2022deep,
  title={Deep learning for B5G open radio access network: Evolution, survey, case studies, and challenges},
  author={Brik, Bouziane and Boutiba, Karim and Ksentini, Adlen},
  journal={IEEE Open Journal of the Communications Society},
  volume={3},
  pages={228--250},
  year={2022},
  publisher={IEEE}
}",,No,
Google Scholar,"End to End Agile and Automated Machine Learning Framework for Trustworthy, Reliable and Sustainable Artificial Intelligence",2022,0,"Manchanda, Sanjeev",,inproceedings,,,"@inproceedings{manchanda2022end,
  title={End to End Agile and Automated Machine Learning Framework for Trustworthy, Reliable and Sustainable Artificial Intelligence},
  author={Manchanda, Sanjeev},
  booktitle={International Conference on Data Management, Analytics \& Innovation},
  pages={33--45},
  year={2022},
  organization={Springer}
}",,No,
Google Scholar,Towards a Technical Debt for AI-based Recommender System,2024,0,"Moreschini, Sergio and Coba, Ludovik and Lenarduzzi, Valentina",,article,,https://www.researchgate.net/profile/Valentina-Lenarduzzi/publication/377296851_Towards_a_Technical_Debt_for_AI-based_Recommender_System/links/659ea991af617b0d873b9f64/Towards-a-Technical-Debt-for-AI-based-Recommender-System.pdf,"@article{moreschini2024towards,
  title={Towards a Technical Debt for AI-based Recommender System},
  author={Moreschini, Sergio and Coba, Ludovik and Lenarduzzi, Valentina},
  year={2024}
}",,No,
Google Scholar,Building Models,2021,0,"Alla, Sridhar and Adari, Suman Kalyan and Alla, Sridhar and Adari, Suman Kalyan","Beginning MLOps with MLFlow: Deploy Models in AWS SageMaker, Google Cloud, and Microsoft Azure",article,,,"@article{alla2021building,
  title={Building Models},
  author={Alla, Sridhar and Adari, Suman Kalyan and Alla, Sridhar and Adari, Suman Kalyan},
  journal={Beginning MLOps with MLFlow: Deploy Models in AWS SageMaker, Google Cloud, and Microsoft Azure},
  pages={41--77},
  year={2021},
  publisher={Springer}
}",,No,
Google Scholar,Who is Responsible for Adversarial Defense?,2021,4,"Gupta, Kishor Datta and Dasgupta, Dipankar",arXiv preprint arXiv:2106.14152,article,,https://arxiv.org/pdf/2106.14152,"@article{gupta2021responsible,
  title={Who is Responsible for Adversarial Defense?},
  author={Gupta, Kishor Datta and Dasgupta, Dipankar},
  journal={arXiv preprint arXiv:2106.14152},
  year={2021}
}",,No,
Google Scholar,Technology trends outlook 2023,2023,35,"Chui, Michael and Issler, Mena and Roberts, Roger and Yee, Lareina",,article,,http://dln.jaipuria.ac.in:8080/jspui/bitstream/123456789/14260/1/Mckinsey-technology-trends-outlook-2023.pdf,"@article{chui2023technology,
  title={Technology trends outlook 2023},
  author={Chui, Michael and Issler, Mena and Roberts, Roger and Yee, Lareina},
  year={2023},
  publisher={McKinsey \& Company}
}",,No,
Google Scholar,Machine Learning Applications in Healthcare: Current Trends and Future Prospects,2024,0,Ram{\'\i,Journal of Artificial Intelligence General science (JAIGS) ISSN: 3006-4023,article,,https://ojs.boulibrary.com/index.php/JAIGS/article/download/33/18,"@article{ramirez2024machine,
  title={Machine Learning Applications in Healthcare: Current Trends and Future Prospects},
  author={Ram{\'\i}rez, Jos{\'e} Gabriel Carrasco and Islam, Md Mafiqul and Even, ASM Ibnul Hasan},
  journal={Journal of Artificial Intelligence General science (JAIGS) ISSN: 3006-4023},
  volume={1},
  number={1},
  year={2024}
}",,No,
Google Scholar,Towards a Technical Debt for Recommender System,2023,0,"Moreschini, Sergio and Coba, Ludovik and Lenarduzzi, Valentina",arXiv preprint arXiv:2311.07947,article,,https://arxiv.org/pdf/2311.07947,"@article{moreschini2023towards,
  title={Towards a Technical Debt for Recommender System},
  author={Moreschini, Sergio and Coba, Ludovik and Lenarduzzi, Valentina},
  journal={arXiv preprint arXiv:2311.07947},
  year={2023}
}",,No,
Google Scholar,Applying Recent Machine Learning Approaches to Accelerate the Algebraic Multigrid Method for Fluid Simulations,2021,3,"Louw, Thorben and McIntosh-Smith, Simon",,inproceedings,,,"@inproceedings{louw2021applying,
  title={Applying Recent Machine Learning Approaches to Accelerate the Algebraic Multigrid Method for Fluid Simulations},
  author={Louw, Thorben and McIntosh-Smith, Simon},
  booktitle={Smoky Mountains Computational Sciences and Engineering Conference},
  pages={40--57},
  year={2021},
  organization={Springer}
}",,No,
Google Scholar,Orchestration Procedures for the Network Intelligence Stratum in 6G Networks,2023,0,"Chatzieleftheriou, Livia Elena and Gramaglia, Marco and Camelo, Miguel and Garcia-Saavedra, Andres and Kosmatos, Evangelos and Gucciardo, Michele and Soto, Paola and Iosifidis, George and Fuentes, Lidia and Garcia-Aviles, Gines and others",,inproceedings,,https://dspace.networks.imdea.org/bitstream/handle/20.500.12761/1701/1570881735%20final.pdf?sequence=1,"@inproceedings{chatzieleftheriou2023orchestration,
  title={Orchestration Procedures for the Network Intelligence Stratum in 6G Networks},
  author={Chatzieleftheriou, Livia Elena and Gramaglia, Marco and Camelo, Miguel and Garcia-Saavedra, Andres and Kosmatos, Evangelos and Gucciardo, Michele and Soto, Paola and Iosifidis, George and Fuentes, Lidia and Garcia-Aviles, Gines and others},
  booktitle={2023 Joint European Conference on Networks and Communications \& 6G Summit (EuCNC/6G Summit)},
  pages={347--352},
  year={2023},
  organization={IEEE}
}",,No,
Google Scholar,My Role in the Internet of Things,2023,0,"Fersman, Elena and Pettersson, Paul and Karapantelakis, Athanasios",,incollection,,,"@incollection{fersman2023my,
  title={My Role in the Internet of Things},
  author={Fersman, Elena and Pettersson, Paul and Karapantelakis, Athanasios},
  booktitle={Confessions of an AI Brain},
  pages={47--60},
  year={2023},
  publisher={Springer}
}",,No,
Google Scholar,MLOps Principles,2023,5,"Visengeriyeva, L and Kammer, Anja and B{\""a",,misc,,,"@misc{visengeriyeva2023mlops,
  title={MLOps Principles},
  author={Visengeriyeva, L and Kammer, Anja and B{\""a}r, Isabel and Kniesz, Alexander and Pl{\""o}d, Michael and Eberstaller, S},
  year={2023}
}",,No,
Google Scholar,SMIRK: A machine learning-based pedestrian automatic emergency braking system with a complete safety case,2022,3,"Socha, Kasper and Borg, Markus and Henriksson, Jens",Software Impacts,article,,https://www.sciencedirect.com/science/article/pii/S2665963822000689,"@article{socha2022smirk,
  title={SMIRK: A machine learning-based pedestrian automatic emergency braking system with a complete safety case},
  author={Socha, Kasper and Borg, Markus and Henriksson, Jens},
  journal={Software Impacts},
  volume={13},
  pages={100352},
  year={2022},
  publisher={Elsevier}
}",,No,
Google Scholar,IEM: A Unified Lifecycle Orchestrator for Multilingual IaC Deployments,2023,0,"Diaz-de-Arcaya, Josu and Osaba, Eneko and Benguria, Gorka and Etxaniz, I{\~n",,inproceedings,,https://dl.acm.org/doi/pdf/10.1145/3578245.3584938,"@inproceedings{diaz2023iem,
  title={IEM: A Unified Lifecycle Orchestrator for Multilingual IaC Deployments},
  author={Diaz-de-Arcaya, Josu and Osaba, Eneko and Benguria, Gorka and Etxaniz, I{\~n}aki and L. Lobo, Jesus and Alonso, Juncal and Torre-Bastida, Ana I and Almeida, Aitor},
  booktitle={Companion of the 2023 ACM/SPEC International Conference on Performance Engineering},
  pages={195--199},
  year={2023}
}",,No,
Google Scholar,Daemon: A network intelligence plane for 6g networks,2022,5,"Camelo, Miguel and Gramaglia, Marco and Soto, Paola and Fuentes, Lidia and Ballesteros, Joaqu{\'\i",,inproceedings,,https://e-archivo.uc3m.es/bitstream/handle/10016/36370/DAEMON_GLOBECOM_2022_ps.pdf?sequence=1,"@inproceedings{camelo2022daemon,
  title={Daemon: A network intelligence plane for 6g networks},
  author={Camelo, Miguel and Gramaglia, Marco and Soto, Paola and Fuentes, Lidia and Ballesteros, Joaqu{\'\i}n and Bazco-Nogueras, Antonio and Garcia-Aviles, Gines and Latr{\'e}, Steven and Garcia-Saavedra, Andres and Fiore, Marco},
  booktitle={2022 IEEE Globecom Workshops (GC Wkshps)},
  pages={1341--1346},
  year={2022},
  organization={IEEE}
}",,No,
Google Scholar,"P-241 ‘Augmented intelligence’to possibly shorten euploid identification time: A human-machine interaction study for euploid identification using ERICA, an Artificial Intelligence software to assist embryo ranking",2022,0,"Chavez Badiola, A and Flores-Saiffe, A and Valencia, R and Mendizabal-Ruiz, G and Villavicencio, J and Gonzalez, D and Griffin, D and Drakeley, A and Cohen, J",Human Reproduction,article,,,"@article{chavez2022p,
  title={P-241 ‘Augmented intelligence’to possibly shorten euploid identification time: A human-machine interaction study for euploid identification using ERICA, an Artificial Intelligence software to assist embryo ranking},
  author={Chavez Badiola, A and Flores-Saiffe, A and Valencia, R and Mendizabal-Ruiz, G and Villavicencio, J and Gonzalez, D and Griffin, D and Drakeley, A and Cohen, J},
  journal={Human Reproduction},
  volume={37},
  number={Supplement\_1},
  pages={deac107--231},
  year={2022},
  publisher={Oxford University Press}
}",,No,
Google Scholar,Deep lake: A lakehouse for deep learning,2022,6,"Hambardzumyan, Sasun and Tuli, Abhinav and Ghukasyan, Levon and Rahman, Fariz and Topchyan, Hrant and Isayan, David and McQuade, Mark and Harutyunyan, Mikayel and Hakobyan, Tatevik and Stranic, Ivo and others",arXiv preprint arXiv:2209.10785,article,,https://arxiv.org/pdf/2209.10785,"@article{hambardzumyan2022deep,
  title={Deep lake: A lakehouse for deep learning},
  author={Hambardzumyan, Sasun and Tuli, Abhinav and Ghukasyan, Levon and Rahman, Fariz and Topchyan, Hrant and Isayan, David and McQuade, Mark and Harutyunyan, Mikayel and Hakobyan, Tatevik and Stranic, Ivo and others},
  journal={arXiv preprint arXiv:2209.10785},
  year={2022}
}",,No,
Google Scholar,Anomaly Detection as a Data Reduction Approach for Test Event Analysis at the Edge,2023,0,"Occorso, Mariya and An, Michael and Olsen, Robert and Perry, Vincent",,inproceedings,,,"@inproceedings{occorso2023anomaly,
  title={Anomaly Detection as a Data Reduction Approach for Test Event Analysis at the Edge},
  author={Occorso, Mariya and An, Michael and Olsen, Robert and Perry, Vincent},
  booktitle={2023 IEEE International Conference on Big Data (BigData)},
  pages={3863--3867},
  year={2023},
  organization={IEEE}
}",,No,
Google Scholar,Enabling kubernetes for distributed ai processing on edge devices,2020,0,"Raheja, R",,phdthesis,,https://ninercommons.charlotte.edu/islandora/object/etd%3A2420/datastream/PDF/download/citation.pdf,"@phdthesis{raheja2020enabling,
  title={Enabling kubernetes for distributed ai processing on edge devices},
  author={Raheja, R},
  year={2020},
  school={The University of North Carolina at Charlotte}
}",,No,
Google Scholar,"Franco-German position paper on"" Speeding up industrial AI and trustworthiness""",2021,1,"Chiaroni, Julien and Zillner, Sonja and Bertels, Natalie and Bezombes, Patrick and Bonhomme, Yannick and Amadou-Boubacar, Habiboulaye and Cantat, Loic and Cattaneo, Gabriella and Cordesse, Lionel and Curry, Edward and others",,article,,https://hal.science/hal-03488324/document,"@article{chiaroni2021franco,
  title={Franco-German position paper on"" Speeding up industrial AI and trustworthiness""},
  author={Chiaroni, Julien and Zillner, Sonja and Bertels, Natalie and Bezombes, Patrick and Bonhomme, Yannick and Amadou-Boubacar, Habiboulaye and Cantat, Loic and Cattaneo, Gabriella and Cordesse, Lionel and Curry, Edward and others},
  year={2021}
}",,No,
